,Grade Average 7,Grade Average 8,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,Gender,target,Absent Total,Tardy Total,Average Grade MS,Average Math Score,Average ELA Score,Num of Above Average Comments,Num of Meets Acceptable Comments,Num of Incomplete Work Comments,Num of Outstanding Effort Comments,Num of Unprepared for Class Comments,Num of Inattentive in Class Comments,Num of Poor Tests Comments,Num of Conscientious Comments,Num of Improvement Noted Comments,Num of Imcomplete Homework Comments,Num of Parent Conference Requested Comments,Num of Poor Class Attendance Comments,Num of Excessive Lateness Comments,Comments
22,84,88,3,4,4,4,1,0,0,1,'F',1,1,1,86.0,3.5,4.0,1,2,0,3,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort.'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort. No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort ."
23,85,88,4,5,5,5,0,1,2,0,'F',1,2,1,86.5,4.5,5.0,2,3,0,2,0,0,0,0,0,0,0,0,0,"'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates outstanding effort. No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates outstanding effort."
24,81,87,4,4,4,4,0,0,0,0,'M',1,0,0,84.0,4.0,4.0,3,3,0,0,0,0,0,0,0,0,0,0,0,"'In danger of failing.'.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'In danger of failing.'."
25,81,85,2,1,4,1,8,14,0,10,'M',1,8,24,83.0,3.0,1.0,2,2,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort ."
26,85,88,4,5,4,5,0,0,1,2,'F',1,1,2,86.5,4.0,5.0,1,4,0,1,0,0,0,1,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment .'Demonstrates outstanding effort.'Demonstrates above average ability, motivation and attitude in this class."
27,84,80,4,5,3,4,1,9,3,18,'M',1,4,27,82.0,3.5,4.5,1,4,0,0,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort ."
28,78,86,4,4,4,4,10,5,3,16,'M',1,13,21,82.0,4.0,4.0,0,5,0,0,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
29,85,86,3,4,4,5,12,0,7,2,'F',1,19,2,85.5,3.5,4.5,0,5,0,1,0,0,0,1,0,0,0,0,0,"'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort."
30,80,87,4,4,4,4,5,1,7,1,'F',1,12,2,83.5,4.0,4.0,2,3,0,1,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Conscientious about classroom responsibilities.'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Demonstrates outstanding effort.'Meets acceptable standards of cooperation, work, attitude and effort ."
31,78,82,3,4,2,4,5,1,2,18,'F',1,7,19,80.0,2.5,4.0,1,2,0,0,0,0,1,1,0,1,0,0,0,"'Poor test scores. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Poor test scores."
32,84,86,4,5,4,4,0,2,2,1,'F',1,2,3,85.0,4.0,4.5,2,3,0,0,0,0,0,0,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment . No Comment .'Demonstrates above average ability, motivation and attitude in this class."
33,74,78,2,3,1,3,1,1,0,2,'F',1,1,3,76.0,1.5,3.0,0,3,0,0,0,0,1,2,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores. No Comment .'Conscientious about classroom responsibilities."
34,79,85,4,4,3,4,5,0,2,0,'M',1,7,0,82.0,3.5,4.0,0,2,0,0,1,0,1,0,0,1,0,0,0,"'Poor test scores.'In danger of failing.'. No Comment .'Unprepared for class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework.'Poor test scores."
35,80,86,4,4,4,4,0,0,0,7,'F',1,0,7,83.0,4.0,4.0,1,4,0,0,0,0,0,0,0,1,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
36,82,88,3,4,4,4,4,0,7,1,'F',1,11,1,85.0,3.5,4.0,2,5,0,0,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort ."
37,85,87,4,5,4,5,5,3,10,15,'F',1,15,18,86.0,4.0,5.0,0,4,0,1,0,0,0,0,0,0,0,0,0,"'Good work. Satisfactory'.'Need put more effort for Chinese'.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates outstanding effort.'Good work. Satisfactory'."
38,87,88,5,5,4,5,4,0,2,0,'F',1,6,0,87.5,4.5,5.0,2,3,0,1,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates outstanding effort. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort ."
39,85,87,4,4,4,4,0,0,3,1,'F',1,3,1,86.0,4.0,4.0,2,3,0,1,0,0,0,1,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Demonstrates above average ability, motivation and attitude in this class."
40,84,89,2,3,2,1,7,0,0,0,'M',1,7,0,86.5,2.0,2.0,0,2,0,0,0,0,0,2,1,0,0,0,0,"'Improvement noted. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities. No Comment . No Comment .'Improvement noted."
41,88,89,4,5,5,5,2,5,0,3,'F',1,2,8,88.5,4.5,5.0,1,4,0,1,0,0,0,1,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates outstanding effort.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities."
42,87,86,3,4,4,5,9,1,4,0,'F',1,13,1,86.5,3.5,4.5,3,2,0,0,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
43,85,88,3,4,4,4,0,1,3,6,'F',1,3,7,86.5,3.5,4.0,0,3,0,1,0,0,0,2,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Demonstrates outstanding effort. No Comment . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort ."
44,81,83,3,4,3,4,1,5,1,4,'F',1,2,9,82.0,3.0,4.0,1,3,0,2,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates outstanding effort.'Good Work. Satisfactory'.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
45,76,80,3,4,2,4,1,6,0,8,'F',1,1,14,78.0,2.5,4.0,0,4,0,0,0,0,1,1,0,0,1,0,0,"'Poor test scores.'Parent conference requested.'Conscientious about classroom responsibilities. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Poor test scores."
46,86,88,4,5,4,5,5,2,8,14,'F',1,13,16,87.0,4.0,5.0,1,5,0,0,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
47,83,88,4,4,4,4,2,1,7,15,'F',1,9,16,85.5,4.0,4.0,2,2,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates outstanding effort.'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class. No Comment . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort ."
48,77,79,3,4,3,3,6,1,1,18,'F',1,7,19,78.0,3.0,3.5,0,0,0,0,0,0,0,1,0,3,0,0,0,'Incomplete homework. No Comment .'Conscientious about classroom responsibilities. No Comment .'Good work. Satisfactory'.'Incomplete homework. No Comment .'Incomplete homework.
49,86,85,3,5,4,5,0,1,0,1,'F',1,0,2,85.5,3.5,5.0,2,2,0,1,0,0,0,0,0,0,0,0,0,"'Need put more effort for Chinese'.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Need put more effort for Chinese'."
50,81,83,5,5,5,5,8,7,8,8,'M',1,16,15,82.0,5.0,5.0,1,2,1,0,0,0,0,0,0,1,0,0,0," No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete work.'Need put more effort for Chinese'. No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Incomplete homework. No Comment ."
51,85,85,4,4,4,5,3,1,3,1,'M',1,6,2,85.0,4.0,4.5,2,3,0,0,0,0,0,0,0,1,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class."
52,84,85,3,5,3,5,8,0,13,0,'F',1,21,0,84.5,3.0,5.0,2,2,0,0,0,0,1,0,0,0,0,0,0,"'Need put more effort for Chinese'.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Need put more effort for Chinese'."
53,79,87,3,2,4,4,3,3,2,5,'F',1,5,8,83.0,3.5,3.0,1,5,0,0,0,0,0,1,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities."
54,85,89,4,5,5,5,0,0,3,1,'M',1,3,1,87.0,4.5,5.0,2,3,0,0,0,0,0,1,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Late assignments = points off . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class.'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
55,0,85,0,0,4,4,0,0,4,4,'F',1,4,4,42.5,2.0,2.0,2,2,0,1,0,0,0,0,0,1,0,0,0,"'Need put more effort for Chinese'.'Meets acceptable standards of cooperation, work, attitude and effort .'Incomplete homework.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'Need put more effort for Chinese'."
56,83,88,4,5,4,5,2,3,5,9,'F',1,7,12,85.5,4.0,5.0,2,4,0,0,0,0,1,0,0,0,0,0,0,"'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class."
57,85,88,5,5,5,5,6,0,5,4,'F',1,11,4,86.5,5.0,5.0,2,4,0,0,0,0,0,0,0,0,0,0,0,"'I assigned a quiz twice on Google classroom and she did not do it.'.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class. No Comment .'I assigned a quiz twice on Google classroom and she did not do it.'."
58,89,89,4,5,4,5,0,1,4,0,'F',1,4,1,89.0,4.0,5.0,2,4,0,0,0,0,0,1,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Conscientious about classroom responsibilities."
59,89,90,4,4,5,4,0,0,0,0,'F',1,0,0,89.5,4.5,4.0,2,4,0,1,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates above average ability, motivation and attitude in this class.'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
60,81,83,4,4,4,4,2,2,1,0,'M',1,3,2,82.0,4.0,4.0,1,6,0,0,0,0,0,0,0,0,0,0,0,"'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort . No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort ."
61,89,89,4,5,4,5,0,0,0,0,'F',1,0,0,89.0,4.0,5.0,2,3,0,1,0,0,0,1,0,0,0,0,0,"'Conscientious about classroom responsibilities.'Meets acceptable standards of cooperation, work, attitude and effort .'Demonstrates above average ability, motivation and attitude in this class.'Demonstrates outstanding effort. No Comment .'Meets acceptable standards of cooperation, work, attitude and effort .'Meets acceptable standards of cooperation, work, attitude and effort .'Conscientious about classroom responsibilities."
